X,Y,Data,Ora,Luogo_corr,INCIDENTE,lon,lat
13.35743,38.117214,13/01/2017,04:10,VIA DELLO SPIRITO SANTO intersezione con VIA S.AGOSTINO,C,13.357430000000001,38.117213999999997
13.346545,38.143256,13/01/2017,08:25,VIA MARCHESE DI ROCCAFORTE intersezione con VIA BONANNO GIOVANNI,F,13.346545000000001,38.143256000000001
13.362203,38.102864,13/01/2017,10:00,VIA DEL VESPRO altezza del civico 112,C,13.362202999999999,38.102863999999997
13.357839,38.135025,13/01/2017,11:00,PIAZZA CAPONNETTO ANTONINO altezza del civico 6,F,13.357839000000000,38.135024999999999
13.329606,38.159752,13/01/2017,13:20,VIA INGEGNEROS GIUSEPPE altezza del civico 2,C,13.329606000000000,38.159751999999997
13.332492,38.121766,13/01/2017,18:30,VIA DI BLASI E. GIOVANNI di fronte al civico 98/B,F,13.332492000000000,38.121766000000001
13.303891,38.126294,13/01/2017,19:10,VIALE LEONARDO DA VINCI nr. 675,F,13.303891000000000,38.126294000000001
13.362375,38.137613,13/01/2017,17:50,VIA BAGOLINO SEBASTIANO intersezione con VIA MARABITTI,F,13.362375000000000,38.137613000000002
13.367129,38.103289,14/01/2017,01:50,VIA BERGAMO intersezione VIA JEMMA ROCCO,C,13.367129000000000,38.103288999999997
13.364107,38.105132,14/01/2017,08:15,VIA ELIA AUGUSTO intersezione con VIA PALERMO GASPARE,F,13.364107000000001,38.105131999999998
13.333692,38.102378,14/01/2017,13:30,VIA MULE' GIUSEPPE intersezione con VIA MARINUZZI GINO,F,13.333691999999999,38.102378000000002
13.336679,38.105518,14/01/2017,22:40,CORSO CALATAFIMI nr. 304,C,13.336679000000000,38.105517999999996
13.363197,38.125733,15/01/2017,03:45,VIA CRISPI FRANCESCO pressi sotto passaggio,F,13.363197000000000,38.125732999999997
13.371222,38.10062,15/01/2017,04:00,VIA ORETO intersezione VIA ERRANTE VINCENZO,F,13.371221999999999,38.100619999999999
13.393251,38.087813,15/01/2017,08:00,VIALE REGIONE SICILIANA S.E. altezza (inters.) VIA ALTOFONTE,F,13.393250999999999,38.087812999999997
13.359942,38.132144,15/01/2017,11:35,VIA PIANO DELL'UCCIARDONE intersezione con,F,13.359942000000000,38.132143999999997
13.347508,38.125583,15/01/2017,13:45,VIA CUSMANO GIACOMO intersezione con VIA MARCONI GUGLIELMO,F,13.347507999999999,38.125582999999999
13.365028,38.105962,15/01/2017,14:15,VIA PALERMO GASPARE intersezione con VIA DEL VESPRO,F,13.365028000000001,38.105961999999998
13.393251,38.087813,15/01/2017,18:00,VIALE REGIONE SICILIANA S.E. a mt. 30 MT ALT 2 PAL,F,13.393250999999999,38.087812999999997
13.390382,38.091966,15/01/2017,20:30,VIA CONTE FEDERICO altezza del civico 264,F,13.390382000000001,38.091965999999999
13.346502,38.120503,15/01/2017,21:30,VIA LA MANTIA VITO intersezione con VIA VILLA FLORIO,C,13.346501999999999,38.120502999999999
